step,vehicle_count,speed,co2_emission,congestion
2139,78,7.198430074358908,2257.3605672975264,0
2140,79,7.087556990932143,2753.536416656875,0
2141,79,7.024763079092959,2662.462759098153,0
2142,79,7.244565861241482,3030.3011533241374,0
2143,77,7.396060182013047,2775.356242712086,0
2144,76,7.556391970818734,2900.547735218674,0
2145,77,7.669689417040434,2820.1393170506635,0
2146,77,7.842864871629288,2716.683970243007,0
2147,77,7.930271722928486,2577.578148154619,0
2148,78,7.885204698779746,2529.744564185831,0
2149,77,7.676556872752002,2237.297183437525,0
2150,77,7.387662146840432,1968.0622558027806,0
2151,78,7.256607487885397,2321.6447981847846,0
2152,78,7.278666012550801,2286.530919078483,0
2153,78,7.115739245982084,2185.4570803314264,0
2154,79,7.0453998637184725,2554.912820102115,0
2155,78,6.990684945191783,2568.0267960706724,0
